altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
3121	11	309	40	1195	202	221	156	2658	0
3095	16	234	55	2910	187	215	166	2382	0
3120	4	277	0	2375	227	235	143	2362	0
2891	28	690	264	648	138	197	192	553	0
3132	13	95	14	2955	236	216	109	2100	0
2833	9	450	64	1860	220	221	136	1190	0
3122	13	319	5	2215	189	221	171	2438	0
3187	12	752	63	1211	232	217	115	2329	0
2597	4	30	3	2163	210	233	162	1328	0
3143	7	30	9	3105	210	228	155	2222	0
2807	19	150	41	2270	235	199	87	552	0
2907	29	420	269	1706	137	241	233	1511	0
3397	13	467	112	2029	228	211	113	1630	1
2699	14	90	-2	2409	201	211	145	541	0
2626	22	60	14	2391	244	197	72	1167	0
3120	11	90	8	1556	194	247	191	2268	0
2661	18	240	75	2083	172	216	182	1627	0
3200	5	541	16	1073	220	244	160	2028	0
3013	11	443	-9	2483	222	216	128	2538	0
2630	21	240	-38	1723	213	190	105	1531	0
2946	23	589	77	2264	192	187	125	1608	0
3220	5	680	36	870	206	235	169	1931	0
2909	21	793	143	2343	157	220	201	808	0
3103	13	234	3	2839	216	211	129	3005	0
2918	7	553	152	2468	228	226	132	485	0
3138	13	268	42	1048	242	225	110	1050	1
3266	8	480	43	3524	198	232	173	2832	0
3021	24	720	152	2448	180	188	140	1832	0
3269	2	390	46	3480	221	235	150	2910	0
3181	5	270	49	933	224	242	152	1768	0
3274	9	437	109	3523	200	228	167	2772	0
2868	26	190	46	351	244	183	53	234	1
3035	18	1063	166	2642	216	199	112	1239	0
3038	17	1101	169	2673	218	201	113	1213	0
3260	13	0	0	3073	240	234	121	547	1
2774	10	618	123	2701	212	219	144	1595	0
2729	20	60	38	1865	228	193	90	1006	0
3042	7	255	42	2233	218	246	164	1358	0
2787	7	488	72	2971	209	227	156	1366	0
2875	8	335	96	3331	230	224	128	638	0
3211	16	342	34	2554	202	254	183	1071	1
3233	4	342	1	150	212	237	164	1144	0
3143	17	1180	196	3075	219	250	159	1746	0
3174	13	924	10	3075	238	237	127	2737	0
2739	12	330	9	2546	225	213	120	2259	0
2926	16	95	-19	626	242	213	97	663	1
3363	12	424	95	3261	224	247	155	234	0
3428	12	722	196	3378	211	251	173	537	0
2744	19	108	39	2258	163	226	203	570	0
3201	13	592	96	2748	236	239	131	3173	0
2947	22	108	20	793	242	196	73	797	1
2969	8	108	11	2084	204	246	179	1209	0
3212	12	467	96	2618	240	230	117	2851	0
3284	19	769	168	2581	245	229	105	2477	0
3268	17	258	-49	2962	213	252	168	408	0
3113	9	391	72	1328	198	247	187	1224	0
3292	13	95	23	3338	240	226	114	644	0
2964	10	543	21	2809	233	240	137	2389	0
3003	14	480	55	2683	243	227	111	2589	0
3035	21	390	24	1231	237	239	120	895	1
2988	19	390	149	1087	241	235	116	765	1
3042	13	109	28	1736	191	248	196	1440	0
2915	13	67	6	2642	189	224	174	618	0
3223	2	511	84	745	217	241	161	551	0
2944	26	891	312	2724	253	201	59	1626	0
3012	14	300	33	1830	233	242	136	1423	1
2989	12	180	-7	2345	187	240	192	932	0
3210	11	603	94	2257	239	227	117	2676	0
3140	10	228	55	1333	207	248	178	955	0
3172	5	0	0	1785	214	229	152	430	1
3071	20	30	18	1637	177	252	209	1190	0
3189	16	0	0	3183	232	244	139	871	0
3275	8	1040	138	2207	223	245	156	2245	0
2929	9	417	53	2582	228	243	147	2105	0
3071	3	30	0	1591	225	237	147	446	1
3056	19	242	41	1745	233	243	133	1090	1
3247	9	408	45	2471	217	248	165	1452	0
3270	6	973	133	2185	218	245	163	2202	0
3067	5	30	2	1565	224	241	152	495	1
3201	21	175	52	2991	178	253	207	960	0
3239	10	350	37	2475	216	249	167	1426	0
3158	11	342	42	2075	234	220	117	3036	0
3236	9	351	103	2803	215	249	169	1087	0
3268	3	1006	137	2084	216	242	163	2322	0
2910	17	780	132	2377	242	234	115	1583	0
3059	10	0	0	1412	208	219	148	663	1
3340	20	510	134	1710	227	246	141	1574	0
3339	15	551	133	1385	238	238	126	1969	0
3227	6	240	94	2737	203	242	178	1224	0
3225	5	330	92	2673	218	228	146	1254	0
3199	12	212	13	2223	224	247	154	1655	0
3082	17	125	20	1302	226	201	102	560	1
3018	4	190	21	2620	209	240	169	847	0
3328	7	331	33	1050	208	246	176	1500	0
3335	6	331	24	1015	210	245	173	1560	0
3193	11	182	12	2197	226	246	151	1677	0
3127	12	408	68	1800	226	214	120	3382	0
3250	16	458	67	1265	206	205	133	295	1
3258	12	256	57	1110	223	248	155	612	0
3176	7	192	22	2002	218	246	163	1888	0
3053	13	430	57	2858	219	211	124	787	0
3277	18	870	161	1690	225	197	99	2899	0
2837	11	85	9	2088	220	248	161	2358	0
3323	14	488	76	1337	243	228	112	2285	0
3301	27	417	170	2719	209	248	156	870	0
3060	14	510	63	2665	185	246	200	1116	0
3158	6	342	5	1631	205	242	176	390	0
3276	11	878	166	1537	191	241	190	2672	0
3247	18	342	86	3558	241	236	117	726	0
2809	21	362	108	1820	249	225	94	2154	0
3284	6	888	174	1445	204	240	175	2748	0
3254	12	120	26	1531	213	214	136	831	0
3347	7	1055	266	1323	221	246	159	3013	0
2813	8	170	24	1753	222	223	136	2536	0
3285	13	671	209	700	219	211	125	890	1
3249	14	180	14	1604	229	209	110	984	0
3349	12	426	41	1489	240	226	114	2619	0
2828	19	150	64	1776	223	195	99	1401	0
3140	9	0	0	2272	217	220	140	721	0
3138	13	150	28	1489	196	251	191	2366	0
3336	10	306	38	1575	192	237	185	1777	0
3144	23	390	94	3371	216	249	155	1006	0
3288	26	124	19	1209	228	241	127	1088	1
3249	9	690	173	732	227	222	127	1209	1
3283	9	0	0	1772	194	239	184	1477	0
3256	7	751	180	666	230	228	129	1233	1
2946	13	85	13	2984	189	247	196	1154	0
3204	11	402	67	2223	219	217	131	607	0
3242	21	313	49	691	210	252	167	1071	1
3169	15	242	21	2460	180	223	183	450	0
3116	16	150	22	2971	224	202	108	1370	0
2738	17	42	13	1312	217	200	113	2612	0
3315	11	437	43	1943	208	219	147	1273	0
2771	17	150	38	1266	225	203	108	2632	0
3030	17	170	32	1657	241	236	120	2330	0
3218	2	576	81	2335	222	234	150	534	0
3240	7	726	103	2257	203	244	181	685	0
3141	16	366	55	1106	176	243	206	2748	0
2950	18	42	5	3046	189	207	153	1392	0
3111	9	564	80	2886	197	242	185	566	0
3217	24	309	60	320	203	252	172	1236	1
3059	18	60	5	3596	208	198	122	1380	0
2748	6	395	50	1340	205	241	176	1917	0
3114	13	458	78	3017	184	240	196	532	0
3035	14	150	17	3277	224	209	116	1530	0
2862	16	513	91	1080	245	220	98	2687	0
3122	9	469	85	3023	198	243	185	459	0
3203	18	417	131	3252	198	202	138	1661	0
2994	17	85	9	1369	186	251	201	2634	0
3153	11	85	5	330	222	247	158	1440	1
3148	20	306	110	3458	198	197	131	1652	0
2889	6	0	0	1958	230	235	139	2213	0
2941	10	120	20	2242	221	219	132	2055	0
2950	14	42	3	1397	238	217	108	1006	0
2889	7	60	6	1865	230	227	129	2366	0
3263	8	323	85	924	223	223	136	1765	1
3159	12	443	104	3120	194	249	192	247	0
3237	7	350	-24	2860	210	247	174	306	0
3138	34	404	127	3284	253	177	21	1875	0
3282	16	655	228	3618	208	205	130	1959	0
3073	16	234	42	2737	215	203	119	1082	0
3196	27	430	171	3511	254	205	59	2070	0
3055	18	319	67	2432	179	213	170	2285	0
3303	6	684	266	3693	228	230	136	2148	0
3098	18	212	61	2554	241	205	88	1136	0
3295	12	607	258	3777	238	222	113	2230	0
2813	34	30	11	2192	252	196	40	1537	0
3270	6	0	0	1072	222	228	140	2230	1
2939	11	228	8	1967	218	217	134	912	0
2952	12	258	21	2022	208	214	141	886	0
3136	17	591	140	2288	211	202	124	2592	0
3266	7	150	14	808	230	227	130	2249	1
3028	17	488	169	1790	222	200	106	2913	0
3176	16	531	168	2482	188	212	162	2666	0
3077	11	721	218	1950	213	217	139	3034	0
3126	3	162	16	379	211	238	165	2134	1
3174	22	270	80	2554	162	208	182	781	0
3151	17	300	57	2455	171	225	193	824	0
3159	10	391	65	2255	231	241	141	953	0
2854	27	108	43	1652	253	196	52	1165	0
3290	16	570	9	895	246	220	98	2673	1
3088	22	85	32	3248	157	214	195	2839	0
3194	6	268	31	2674	216	246	167	977	0
3132	13	342	29	2221	209	252	177	875	0
3360	16	301	48	1294	243	233	113	2871	1
3179	15	180	38	2571	220	250	159	1045	0
3033	18	176	45	1518	248	222	96	1324	0
3194	15	417	-4	900	237	239	129	2502	1
2836	34	67	23	1380	227	151	30	899	0
3181	12	566	54	2257	208	214	141	3337	0
3111	17	150	8	2164	215	253	165	721	0
2886	25	162	75	1415	162	250	219	426	0
3121	7	120	-3	841	211	227	153	1933	1
3056	4	120	1	1124	227	236	144	3115	0
2988	15	67	6	872	244	218	99	2713	0
3062	1	255	-37	698	216	237	159	1557	1
3010	10	30	3	1338	236	226	120	1405	0
3049	5	633	32	1401	206	236	169	811	0
3169	5	0	0	4271	228	234	140	3271	0
3160	8	0	0	4184	223	223	135	3255	0
3144	13	60	-4	4076	232	212	110	3267	0
3084	16	1	0	2015	185	251	202	541	0
3125	12	60	22	2148	185	233	188	624	0
2983	6	170	25	192	230	234	138	1269	1
3282	12	685	58	2998	211	215	139	3408	0
3269	15	42	8	1549	241	214	99	2912	1
3140	10	247	10	1136	217	249	165	2138	1
3183	6	60	11	2715	218	245	163	1233	0
3350	15	127	37	3628	228	207	109	1729	0
3270	19	582	177	3309	165	219	192	3449	0
3076	25	726	35	1146	150	206	191	907	0
3092	15	390	84	938	188	214	164	1261	0
3298	6	175	11	1931	229	228	134	3102	1
3108	10	121	20	2028	220	247	161	519	0
3102	15	351	85	1489	214	205	123	2836	0
3237	2	335	66	2620	214	239	163	994	0
3213	15	60	0	1718	231	207	105	2533	1
3034	14	42	6	576	224	248	152	1211	1
3156	10	362	34	1973	211	219	143	2706	0
3230	11	120	-8	1734	236	221	115	2572	1
3309	17	392	80	3328	174	246	209	1341	0
3253	19	85	16	3118	248	222	95	2958	0
3119	7	42	4	1060	232	231	131	1869	1
3158	15	258	1	2103	176	236	199	805	0
3228	9	228	30	3046	197	245	187	1062	0
3337	11	309	58	3561	216	250	167	1530	0
3209	17	330	-42	1539	245	214	92	2431	1
2903	16	30	1	934	192	253	195	631	0
3145	2	277	53	1994	218	234	153	841	0
3252	12	361	88	2506	201	219	156	2518	0
3195	9	755	79	1947	212	222	148	2415	0
3126	5	212	11	1149	223	243	154	2001	1
3202	9	819	86	1986	212	222	147	2359	0
3203	16	283	-4	1477	244	214	95	2407	1
3288	18	228	30	4651	222	249	153	2760	0
3271	11	300	80	2743	203	220	154	2468	0
3079	5	295	15	582	229	236	140	1490	0
3275	10	474	68	4167	224	247	155	2132	0
2953	13	211	24	1132	187	246	197	524	0
3302	13	255	68	2935	203	215	149	2416	0
3045	8	30	4	350	203	228	164	1173	1
3147	16	201	22	2348	241	235	119	402	0
3240	11	361	50	3966	232	242	140	1943	0
2929	16	216	32	150	201	209	144	247	0
3053	12	402	31	1338	197	250	190	685	0
3298	10	285	14	5016	198	230	170	3032	0
3086	17	255	33	1978	218	251	161	108	0
3080	10	297	49	1855	222	248	159	212	0
3074	15	242	27	1939	229	247	145	124	0
3170	12	323	23	2758	208	251	178	750	0
3063	13	175	32	1945	219	250	162	95	0
3219	12	268	0	3625	212	251	173	1651	0
3137	12	295	-4	2590	206	252	180	607	0
3149	13	543	68	330	209	211	137	1455	1
2835	2	0	0	636	213	238	163	300	0
3174	18	67	13	1500	247	225	98	2614	1
2877	16	170	35	845	200	253	186	127	0
3216	13	319	70	696	190	226	177	1842	1
3126	7	30	3	3210	200	239	178	1463	0
3266	7	589	117	874	224	226	136	2053	1
3065	19	0	0	2312	186	253	200	872	0
3262	21	525	111	4051	162	215	191	2268	0
2936	26	127	60	1426	171	253	210	907	0
3314	2	641	176	1020	223	236	149	2322	1
3323	4	570	135	1312	221	242	157	2603	1
3319	9	547	64	1396	230	242	144	2697	1
3146	17	297	67	3230	173	243	208	1663	0
3015	7	242	-24	2318	214	247	169	1167	0
2980	17	268	24	1315	234	205	98	1034	0
3398	17	953	267	4094	170	230	200	2490	0
2879	18	201	88	644	233	202	94	902	0
3207	9	0	0	1265	232	225	125	2521	1
3116	24	1	0	1224	251	220	84	883	0
3006	29	342	166	787	253	187	41	1198	0
3000	17	108	39	1421	204	202	131	1361	0
2950	38	277	159	840	97	180	208	1276	0
3175	22	525	65	1137	191	190	131	1639	0
3137	25	433	134	600	147	206	195	1968	0
3179	25	800	258	3312	146	237	226	2418	0
3133	16	95	16	589	244	230	110	1756	0
2907	23	61	46	421	151	229	216	1795	0
2835	9	61	9	1138	202	227	163	1410	0
2854	20	0	0	1158	250	213	82	1465	0
3223	19	450	68	1354	247	214	89	1657	0
3093	18	31	15	725	246	210	86	1789	0
3185	11	469	109	600	217	215	134	1800	0
2977	28	108	53	2631	216	167	69	2097	0
3026	22	324	108	2455	187	190	134	2147	0
3082	24	499	259	1290	147	219	210	1101	0
3193	13	309	16	1519	238	217	108	1572	0
3090	8	120	11	1536	217	223	142	1892	0
3124	20	617	306	1320	162	228	205	1041	0
3224	11	201	19	1510	208	219	147	1020	0
3259	23	700	183	503	174	194	153	2041	0
3088	19	488	41	1290	193	199	140	2008	0
3069	20	365	150	2349	222	191	96	2304	0
3232	19	595	90	301	165	238	212	2203	0
3166	17	272	71	2052	176	222	185	2096	0
3186	3	573	145	2107	216	233	154	2259	0
3176	15	301	70	1012	209	206	130	2053	0
3140	20	342	34	1103	232	193	85	1853	0
2965	13	424	70	902	210	212	137	1864	0
3276	17	769	200	771	204	203	132	2164	0
2987	27	180	66	2305	239	177	51	2519	0
2994	16	541	99	1044	194	209	150	1920	0
2947	9	700	196	1345	226	220	128	1702	0
2839	20	153	41	2156	188	254	199	1879	0
3199	14	180	54	1617	237	214	105	2190	0
3139	17	201	8	1332	235	204	95	2387	0
3015	15	228	-13	2385	182	223	181	1431	0
3277	16	451	74	2066	199	205	141	1024	0
3130	15	42	0	1370	223	206	112	2534	0
3040	13	95	21	1219	204	213	145	2470	0
3304	15	612	101	2089	198	211	150	849	0
3303	11	979	89	997	189	238	189	2448	0
3177	14	228	42	243	206	253	181	2765	0
3091	13	90	25	1410	185	227	181	2496	0
3090	12	60	13	1445	206	216	148	2536	0
3027	23	870	264	1677	218	187	95	2160	0
3170	22	474	31	2155	167	205	175	365	0
3054	21	67	12	2903	158	238	218	1653	0
3114	17	42	1	2553	171	224	194	607	0
3163	17	277	85	2886	172	229	197	1142	0
3209	17	573	70	2113	182	212	167	277	0
3301	24	124	52	1844	153	205	188	2520	0
3247	1	268	36	1082	220	238	155	2461	0
3118	22	560	93	2053	227	190	86	1926	0
3168	16	362	73	3000	228	204	105	872	0
3201	15	242	50	2808	193	213	157	547	0
3090	24	210	64	2429	252	214	76	1624	0
2935	15	108	20	3203	192	214	160	2140	0
3010	21	150	27	3463	162	242	218	1782	0
3217	14	509	9	752	229	246	145	2101	0
3238	21	180	1	2251	250	214	82	1806	0
3129	13	430	45	180	201	251	186	2239	0
3360	25	648	209	2927	148	214	203	600	0
2923	9	0	0	2928	220	219	134	1425	0
2994	16	212	32	1556	240	236	120	2221	0
3136	10	323	60	150	226	245	150	1698	0
3123	17	240	5	2799	203	205	134	1082	0
3103	8	492	61	510	209	247	175	1608	0
2950	9	90	14	3115	201	226	164	1308	0
3058	24	509	18	3429	155	207	188	1560	0
2960	7	0	0	3154	212	225	151	1124	0
3132	14	108	16	3949	198	214	154	1986	0
3077	6	270	20	330	211	246	172	1269	0
3016	10	0	0	774	234	239	135	1448	0
3072	4	150	10	162	212	233	158	1170	0
3293	18	175	23	3246	248	216	89	1180	0
3221	24	467	135	3267	251	202	68	553	0
3041	8	67	0	3476	223	222	134	618	0
3041	9	95	21	3583	200	227	166	750	0
3239	14	192	30	4325	214	210	129	2089	0
3044	8	108	18	3610	204	229	165	732	0
3042	4	190	35	612	223	232	145	1168	0
3155	18	0	0	4042	169	237	207	1253	0
3312	18	404	89	4328	173	218	183	2005	0
3341	13	516	123	4218	183	231	188	1915	0
3099	10	85	2	3639	235	224	120	228	0
3258	14	457	84	3841	229	246	145	789	0
3280	21	467	99	3960	248	205	75	990	0
3202	18	150	5	4187	172	220	186	424	0
3186	5	153	6	4538	207	238	170	1008	0
3167	22	192	76	3632	224	246	143	680	0
3143	20	216	38	3144	218	250	156	722	0
2990	25	306	-45	2971	202	252	171	1052	0
2737	33	391	101	3180	173	249	193	1691	0
2706	17	210	-16	2448	222	249	154	1770	0
2606	11	150	-8	2616	232	242	139	2072	0
2582	11	42	2	2931	226	245	150	2192	0
2746	15	42	10	926	232	244	138	553	0
2586	7	150	16	2860	226	227	134	2581	0
2553	15	192	14	2671	243	217	100	2590	0
2582	19	108	19	2096	186	203	152	2242	0
2637	18	150	31	2554	203	199	128	2486	0
2749	19	516	62	3242	221	195	103	2771	0
2673	20	331	-2	2761	182	202	155	2510	0
2469	28	90	13	400	182	172	116	1114	0
2682	22	446	-41	2911	203	186	110	2550	0
2682	26	190	97	2220	176	180	133	2249	0
2719	24	402	-29	2941	187	186	129	2486	0
2549	13	67	0	755	199	217	155	1390	0
2764	14	134	40	2706	228	210	112	2241	0
2603	10	212	24	957	224	218	126	1338	0
2882	22	234	69	3101	226	188	85	2021	0
2868	17	67	15	3350	195	254	191	1940	0
2795	17	0	0	2166	242	234	114	1090	0
2833	23	68	22	3354	185	254	197	1706	0
2736	9	120	2	2312	231	242	143	771	0
2709	10	30	-7	2165	235	238	132	691	0
2868	17	342	83	2610	244	212	91	934	0
2766	28	30	11	2990	169	252	208	1315	0
2604	5	216	35	1489	223	242	154	1396	0
2356	25	67	20	417	225	177	71	579	0
